# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  0.00000000  0.00000000  0.39456798  0.00000000  1.00000000  0.00000000  1.00000000
  0.62500000  0.00000000 -0.14120872  0.00000000  0.00000000  0.00000000  0.00000000
  0.62500000  0.25000000 -0.25229088  0.14748736  1.09613946  0.07150085  1.09846898
  0.00000000  0.25000000  0.28348582  0.24035593  1.00000000  0.00000000  1.00000000
  0.00000000  0.00000000  0.39456798  0.00000000  1.00000000  0.00000000  1.00000000


  1.25000000  0.00000000 -0.13054660  0.00000000  0.00000000  0.00000000  0.00000000
  1.25000000  0.25000000 -0.08898687  0.11256776  0.82395947 -0.00304407  0.82396509
  0.62500000  0.25000000 -0.13273659  0.14748736  1.09613946  0.07150085  1.09846898
  0.62500000  0.00000000 -0.17429633  0.00000000  0.00000000  0.00000000  0.00000000
  1.25000000  0.00000000 -0.13054660  0.00000000  0.00000000  0.00000000  0.00000000


  1.25000000  0.50000000 -0.08764280  0.35923916  1.06244368  0.03879308  1.06315167
  0.62500000  0.50000000 -0.08271659  0.43244866  1.09136878  0.09785014  1.09574654
  0.62500000  0.25000000 -0.11846260  0.14748736  1.09613946  0.07150085  1.09846898
  1.25000000  0.25000000 -0.12338881  0.11256776  0.82395947 -0.00304407  0.82396509
  1.25000000  0.50000000 -0.08764280  0.35923916  1.06244368  0.03879308  1.06315167


  0.00000000  0.50000000  0.02750345  0.48071180  1.00000000  0.00000000  1.00000000
  0.00000000  0.25000000  0.07476228  0.24035593  1.00000000  0.00000000  1.00000000
  0.62500000  0.25000000 -0.05200293  0.14748736  1.09613946  0.07150085  1.09846898
  0.62500000  0.50000000 -0.09926176  0.43244866  1.09136878  0.09785014  1.09574654
  0.00000000  0.50000000  0.02750345  0.48071180  1.00000000  0.00000000  1.00000000


  2.50000000  0.00000000 -0.03375347  0.00000000  0.00000000  0.00000000  0.00000000
  2.50000000  0.25000000 -0.03108672  0.09531023  0.69113193 -0.00179134  0.69113425
  1.87500000  0.25000000 -0.06696060  0.10492602  0.75527798 -0.00056528  0.75527819
  1.87500000  0.00000000 -0.06962735  0.00000000  0.00000000  0.00000000  0.00000000
  2.50000000  0.00000000 -0.03375347  0.00000000  0.00000000  0.00000000  0.00000000


  2.50000000  0.50000000 -0.03265925  0.30008045  0.88253317  0.00381099  0.88254140
  1.87500000  0.50000000 -0.06657599  0.32689340  0.95146081  0.00586179  0.95147886
  1.87500000  0.25000000 -0.06597074  0.10492602  0.75527798 -0.00056528  0.75527819
  2.50000000  0.25000000 -0.03205399  0.09531023  0.69113193 -0.00179134  0.69113425
  2.50000000  0.50000000 -0.03265925  0.30008045  0.88253317  0.00381099  0.88254140


  1.25000000  0.50000000 -0.09570791  0.35923916  1.06244368  0.03879308  1.06315167
  1.25000000  0.25000000 -0.09649417  0.11256776  0.82395947 -0.00304407  0.82396509
  1.87500000  0.25000000 -0.06381402  0.10492602  0.75527798 -0.00056528  0.75527819
  1.87500000  0.50000000 -0.06302775  0.32689340  0.95146081  0.00586179  0.95147886
  1.25000000  0.50000000 -0.09570791  0.35923916  1.06244368  0.03879308  1.06315167


  1.25000000  0.00000000 -0.09360799  0.00000000  0.00000000  0.00000000  0.00000000
  1.87500000  0.00000000 -0.06383717  0.00000000  0.00000000  0.00000000  0.00000000
  1.87500000  0.25000000 -0.06624573  0.10492602  0.75527798 -0.00056528  0.75527819
  1.25000000  0.25000000 -0.09601656  0.11256776  0.82395947 -0.00304407  0.82396509
  1.25000000  0.00000000 -0.09360799  0.00000000  0.00000000  0.00000000  0.00000000


  2.50000000  1.00000000 -0.04611738  0.75051785  0.90533281 -0.03812501  0.90613520
  1.87500000  1.00000000 -0.07226234  0.80758396  0.95747407 -0.00890152  0.95751544
  1.87500000  0.75000000 -0.06673266  0.56700741  0.96379636  0.00225190  0.96379899
  2.50000000  0.75000000 -0.04058770  0.52372950  0.90137793 -0.00737233  0.90140808
  2.50000000  1.00000000 -0.04611738  0.75051785  0.90533281 -0.03812501  0.90613520


  1.25000000  1.00000000 -0.08816837  0.87291242  0.99619816  0.03378008  0.99677071
  1.25000000  0.75000000 -0.08647704  0.62056933  1.02480169  0.04717436  1.02588690
  1.87500000  0.75000000 -0.06958712  0.56700741  0.96379636  0.00225190  0.96379899
  1.87500000  1.00000000 -0.07127846  0.80758396  0.95747407 -0.00890152  0.95751544
  1.25000000  1.00000000 -0.08816837  0.87291242  0.99619816  0.03378008  0.99677071


  1.25000000  0.50000000 -0.09055654  0.35923916  1.06244368  0.03879308  1.06315167
  1.87500000  0.50000000 -0.06769490  0.32689340  0.95146081  0.00586179  0.95147886
  1.87500000  0.75000000 -0.06569835  0.56700741  0.96379636  0.00225190  0.96379899
  1.25000000  0.75000000 -0.08855999  0.62056933  1.02480169  0.04717436  1.02588690
  1.25000000  0.50000000 -0.09055654  0.35923916  1.06244368  0.03879308  1.06315167


