20 November  2007   9:13:28.388 AM      
 
MD
  FORTRAN77 version
 
  A molecular dynamics program.
 
  The number of processors available:
  OMP_GET_NUM_PROCS () =        1
 
  The number of threads is        1
 
  This is processor        0
 
      Step      Pot Energy      Kin Energy     (P+K-E0)/E0
 
       1   124434.       0.00000       0.00000    
       2   124434.      0.172600E-05  0.138708E-10
       3   124434.      0.155340E-04  0.138693E-10
       4   124434.      0.431500E-04  0.138719E-10
       5   124434.      0.845740E-04  0.138697E-10
       6   124434.      0.139806E-03  0.138712E-10
       7   124434.      0.208846E-03  0.138699E-10
       8   124434.      0.291694E-03  0.138675E-10
       9   124434.      0.388350E-03  0.138690E-10
      10   124434.      0.498814E-03  0.138697E-10
      11   124434.      0.623087E-03  0.138696E-10
      12   124434.      0.761167E-03  0.138697E-10
      13   124434.      0.913055E-03  0.138717E-10
      14   124434.      0.107875E-02  0.138666E-10
      15   124434.      0.125826E-02  0.138666E-10
      16   124434.      0.145157E-02  0.138666E-10
      17   124434.      0.165869E-02  0.138700E-10
      18   124434.      0.187962E-02  0.138679E-10
      19   124434.      0.211436E-02  0.138666E-10
      20   124434.      0.236290E-02  0.138634E-10
      21   124434.      0.262526E-02  0.138643E-10
      22   124434.      0.290142E-02  0.138620E-10
      23   124434.      0.319139E-02  0.138622E-10
      24   124434.      0.349517E-02  0.138616E-10
      25   124434.      0.381276E-02  0.138586E-10
      26   124434.      0.414415E-02  0.138560E-10
      27   124434.      0.448936E-02  0.138574E-10
      28   124434.      0.484837E-02  0.138505E-10
      29   124434.      0.522119E-02  0.138456E-10
      30   124434.      0.560782E-02  0.138432E-10
      31   124434.      0.600826E-02  0.138459E-10
      32   124434.      0.642251E-02  0.138375E-10
      33   124434.      0.685057E-02  0.138396E-10
      34   124434.      0.729244E-02  0.138345E-10
      35   124434.      0.774811E-02  0.138303E-10
      36   124434.      0.821760E-02  0.138245E-10
      37   124434.      0.870089E-02  0.138242E-10
      38   124434.      0.919799E-02  0.138147E-10
      39   124434.      0.970891E-02  0.138091E-10
      40   124434.      0.102336E-01  0.138045E-10
      41   124434.      0.107722E-01  0.138020E-10
      42   124434.      0.113245E-01  0.137951E-10
      43   124434.      0.118906E-01  0.137898E-10
      44   124434.      0.124706E-01  0.137859E-10
      45   124434.      0.130644E-01  0.137754E-10
      46   124434.      0.136720E-01  0.137685E-10
      47   124434.      0.142933E-01  0.137590E-10
      48   124434.      0.149285E-01  0.137566E-10
      49   124434.      0.155776E-01  0.137476E-10
      50   124434.      0.162404E-01  0.137412E-10
      51   124434.      0.169170E-01  0.137262E-10
      52   124434.      0.176074E-01  0.137199E-10
      53   124434.      0.183117E-01  0.137104E-10
      54   124434.      0.190298E-01  0.136988E-10
      55   124434.      0.197616E-01  0.136904E-10
      56   124434.      0.205073E-01  0.136777E-10
      57   124434.      0.212668E-01  0.136692E-10
      58   124434.      0.220401E-01  0.136553E-10
      59   124434.      0.228272E-01  0.136463E-10
      60   124434.      0.236282E-01  0.136308E-10
      61   124434.      0.244429E-01  0.136167E-10
      62   124434.      0.252715E-01  0.136051E-10
      63   124434.      0.261138E-01  0.135912E-10
      64   124434.      0.269700E-01  0.135775E-10
      65   124434.      0.278400E-01  0.135605E-10
      66   124434.      0.287238E-01  0.135464E-10
      67   124434.      0.296214E-01  0.135288E-10
      68   124434.      0.305328E-01  0.135117E-10
      69   124434.      0.314580E-01  0.134942E-10
      70   124434.      0.323971E-01  0.134765E-10
      71   124434.      0.333499E-01  0.134592E-10
      72   124434.      0.343166E-01  0.134419E-10
      73   124434.      0.352971E-01  0.134214E-10
      74   124434.      0.362914E-01  0.134032E-10
      75   124434.      0.372995E-01  0.133846E-10
      76   124434.      0.383214E-01  0.133612E-10
      77   124434.      0.393572E-01  0.133399E-10
      78   124434.      0.404067E-01  0.133190E-10
      79   124434.      0.414701E-01  0.132976E-10
      80   124434.      0.425473E-01  0.132714E-10
      81   124434.      0.436383E-01  0.132454E-10
      82   124434.      0.447431E-01  0.132237E-10
      83   124434.      0.458617E-01  0.131948E-10
      84   124434.      0.469942E-01  0.131753E-10
      85   124434.      0.481404E-01  0.131445E-10
      86   124434.      0.493005E-01  0.131178E-10
      87   124434.      0.504744E-01  0.130895E-10
      88   124434.      0.516621E-01  0.130597E-10
      89   124434.      0.528636E-01  0.130339E-10
      90   124434.      0.540789E-01  0.130008E-10
      91   124434.      0.553080E-01  0.129704E-10
      92   124434.      0.565510E-01  0.129398E-10
      93   124434.      0.578078E-01  0.129072E-10
      94   124434.      0.590784E-01  0.128728E-10
      95   124434.      0.603628E-01  0.128409E-10
      96   124434.      0.616610E-01  0.128023E-10
      97   124434.      0.629731E-01  0.127719E-10
      98   124434.      0.642989E-01  0.127384E-10
      99   124434.      0.656386E-01  0.127002E-10
     100   124434.      0.669921E-01  0.126615E-10
     101   124434.      0.683594E-01  0.126257E-10
     102   124434.      0.697406E-01  0.125848E-10
     103   124434.      0.711355E-01  0.125511E-10
     104   124434.      0.725443E-01  0.125040E-10
     105   124434.      0.739669E-01  0.124629E-10
     106   124434.      0.754033E-01  0.124219E-10
     107   124434.      0.768535E-01  0.123759E-10
     108   124434.      0.783175E-01  0.123355E-10
     109   124434.      0.797954E-01  0.122900E-10
     110   124434.      0.812871E-01  0.122438E-10
     111   124434.      0.827926E-01  0.121962E-10
     112   124434.      0.843119E-01  0.121480E-10
     113   124434.      0.858451E-01  0.121023E-10
     114   124434.      0.873920E-01  0.120531E-10
     115   124434.      0.889528E-01  0.120008E-10
     116   124434.      0.905274E-01  0.119510E-10
     117   124434.      0.921158E-01  0.119018E-10
     118   124434.      0.937181E-01  0.118477E-10
     119   124434.      0.953342E-01  0.117921E-10
     120   124434.      0.969641E-01  0.117414E-10
     121   124434.      0.986078E-01  0.116844E-10
     122   124434.      0.100265      0.116242E-10
     123   124434.      0.101937      0.115674E-10
     124   124434.      0.103622      0.115072E-10
     125   124434.      0.105321      0.114510E-10
     126   124434.      0.107034      0.113901E-10
     127   124434.      0.108760      0.113309E-10
     128   124434.      0.110501      0.112632E-10
     129   124434.      0.112255      0.111994E-10
     130   124434.      0.114023      0.111356E-10
     131   124434.      0.115805      0.110688E-10
     132   124434.      0.117601      0.110031E-10
     133   124434.      0.119411      0.109359E-10
     134   124434.      0.121234      0.108656E-10
     135   124434.      0.123071      0.107982E-10
     136   124434.      0.124922      0.107260E-10
     137   124434.      0.126787      0.106559E-10
     138   124434.      0.128666      0.105814E-10
     139   124434.      0.130559      0.105096E-10
     140   124434.      0.132465      0.104320E-10
     141   124434.      0.134385      0.103554E-10
     142   124434.      0.136319      0.102771E-10
     143   124434.      0.138267      0.101992E-10
     144   124434.      0.140229      0.101196E-10
     145   124434.      0.142204      0.100354E-10
     146   124434.      0.144194      0.995506E-11
     147   124434.      0.146197      0.986981E-11
