#  robprb.dat  21 May 1997
#
Time, Weight,  Height
 1.0  190.6    5.8
 2.0  191.2    5.81
 3.0  190.0    5.83
 4.0  190.8    5.9
 5.0  189.0    5.95
 6.0  190.2    6.0
 7.0  190.0    6.0
 8.0  188.8    5.7
 9.0  190.0    6.0
10.0  189.4    6.05
11.0  190.0    6.10
12.0  188.6    6.15
13.0  188.6    6.2
14.0  187.6    6.1
15.0  186.8    5.0
16.0  185.6    5.1
17.0  186.8    5.3
18.0  185.6    5.7
19.0  185.4    6.1
20.0  184.6    6.2
21.0  185.8    6.3
22.0  184.6    6.1
23.0  186.4    5.9
24.0  184.4    5.8
25.0  184.6    5.7
26.0  184.8    5.9
27.0  186.0    5.8
28.0  182.8    5.85
29.0  183.4    5.78
30.0  183.8    5.8
31.0  183.6    5.7
Record.2
 1.0  110.6    1.8
 2.0  111.2    2.81
 3.0  110.0    3.83
 4.0  110.8    4.9
 5.0  119.0    5.95
 6.0  110.2    6.0
 7.0  110.0    5.0
 8.0  118.8    4.7
 9.0  100.0    3.0
10.0  109.4    2.05
11.0  100.0    1.10
12.0  108.6    2.15
13.0  108.6    3.2
14.0  107.6    4.1
15.0  116.8    5.0
16.0  120.6    6.1
17.0  116.8    7.3
18.0  105.6    8.7
19.0  105.4    9.1
20.0  104.6    5.2
Record.3
110.0  10.4    22.05
111.0  10.0    12.10
112.0  10.6    22.15
113.0  10.6    32.2
114.0  10.6    42.1
115.0  11.8    52.0
116.0  12.6    62.1
117.0  11.8    72.3
118.0  10.6    82.7
119.0  10.4    92.1
120.0  10.6    52.21
